Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000399999990,,Second,Volt
,,,-0.39423999190,-0.00056,
,,,-0.39419999719,-0.00072,
,,,-0.39416000247,-0.00072,
,,,-0.39411997795,-0.00056,
,,,-0.39407998323,-0.00064,
,,,-0.39403998852,-0.00064,
,,,-0.39399999380,-0.00072,
,,,-0.39395999908,-0.00072,
,,,-0.39392000437,-0.00048,
,,,-0.39387997985,-0.00056,
,,,-0.39383998513,-0.00056,
,,,-0.39379999042,-0.00056,
,,,-0.39375999570,-0.00056,
,,,-0.39372000098,-0.00064,
,,,-0.39367997646,-0.00072,
,,,-0.39363998175,-0.00056,
,,,-0.39359998703,-0.00056,
,,,-0.39355999231,-0.00056,
,,,-0.39351999760,-0.00064,
,,,-0.39348000288,-0.00056,
,,,-0.39343997836,-0.00048,
,,,-0.39339998364,-0.00064,
,,,-0.39335998893,-0.00064,
,,,-0.39331999421,-0.00056,
,,,-0.39327999949,-0.00064,
,,,-0.39324000478,-0.00056,
,,,-0.39319998026,-0.00064,
,,,-0.39315998554,-0.00064,
,,,-0.39311999083,-0.00064,
,,,-0.39307999611,-0.00064,
,,,-0.39304000139,-0.00072,
,,,-0.39299997687,-0.00072,
,,,-0.39295998216,-0.00072,
,,,-0.39291998744,-0.00064,
,,,-0.39287999272,-0.00072,
,,,-0.39283999801,-0.00072,
,,,-0.39280000329,-0.00072,
,,,-0.39275997877,-0.00072,
,,,-0.39271998405,-0.00064,
,,,-0.39267998934,-0.00080,
,,,-0.39263999462,-0.00072,
,,,-0.39259999990,-0.00072,
,,,-0.39255997539,-0.00056,
,,,-0.39251998067,-0.00072,
,,,-0.39247998595,-0.00072,
,,,-0.39243999124,-0.00064,
,,,-0.39239999652,-0.00048,
,,,-0.39236000180,-0.00072,
,,,-0.39231997728,-0.00072,
,,,-0.39227998257,-0.00072,
,,,-0.39223998785,-0.00056,
,,,-0.39219999313,-0.00064,
,,,-0.39215999842,-0.00056,
,,,-0.39212000370,-0.00056,
,,,-0.39207997918,-0.00072,
,,,-0.39203998446,-0.00056,
,,,-0.39199998975,-0.00072,
,,,-0.39195999503,-0.00072,
,,,-0.39192000031,-0.00072,
,,,-0.39187997580,-0.00072,
,,,-0.39183998108,-0.00072,
,,,-0.39179998636,-0.00080,
,,,-0.39175999165,-0.00056,
,,,-0.39171999693,-0.00056,
,,,-0.39168000221,-0.00064,
,,,-0.39163997769,-0.00056,
,,,-0.39159998298,-0.00072,
,,,-0.39155998826,-0.00072,
,,,-0.39151999354,-0.00056,
,,,-0.39147999883,-0.00072,
,,,-0.39144000411,-0.00072,
,,,-0.39139997959,-0.00056,
,,,-0.39135998487,-0.00064,
,,,-0.39131999016,-0.00056,
,,,-0.39127999544,-0.00056,
,,,-0.39124000072,-0.00064,
,,,-0.39119997621,-0.00072,
,,,-0.39115998149,-0.00064,
,,,-0.39111998677,-0.00072,
,,,-0.39107999206,-0.00056,
,,,-0.39103999734,-0.00072,
,,,-0.39100000262,-0.00056,
,,,-0.39095997810,-0.00056,
,,,-0.39091998339,-0.00056,
,,,-0.39087998867,-0.00072,
,,,-0.39083999395,-0.00072,
,,,-0.39079999924,-0.00072,
,,,-0.39076000452,-0.00056,
,,,-0.39071998000,-0.00056,
,,,-0.39067998528,-0.00056,
,,,-0.39063999057,-0.00056,
,,,-0.39059999585,-0.00056,
,,,-0.39056000113,-0.00072,
,,,-0.39051997662,-0.00072,
,,,-0.39047998190,-0.00064,
,,,-0.39043998718,-0.00072,
,,,-0.39039999247,-0.00072,
,,,-0.39035999775,-0.00072,
,,,-0.39032000303,-0.00072,
,,,-0.39027997851,-0.00072,
,,,-0.39023998380,-0.00072,
,,,-0.39019998908,-0.00072,
,,,-0.39015999436,-0.00056,
,,,-0.39011999965,-0.00080,
,,,-0.39008000493,-0.00072,
,,,-0.39003998041,-0.00056,
,,,-0.38999998569,-0.00064,
,,,-0.38995999098,-0.00056,
,,,-0.38991999626,-0.00072,
,,,-0.38988000154,-0.00056,
,,,-0.38983997703,-0.00064,
,,,-0.38979998231,-0.00072,
,,,-0.38975998759,-0.00056,
,,,-0.38971999288,-0.00056,
,,,-0.38967999816,-0.00072,
,,,-0.38964000344,-0.00072,
,,,-0.38959997892,-0.00072,
,,,-0.38955998421,-0.00080,
,,,-0.38951998949,-0.00056,
,,,-0.38947999477,-0.00056,
,,,-0.38944000006,-0.00072,
,,,-0.38939997554,-0.00072,
,,,-0.38935998082,-0.00072,
,,,-0.38931998610,-0.00080,
,,,-0.38927999139,-0.00080,
,,,-0.38923999667,-0.00080,
,,,-0.38920000196,-0.00064,
,,,-0.38915997744,-0.00072,
,,,-0.38911998272,-0.00072,
,,,-0.38907998800,-0.00056,
,,,-0.38903999329,-0.00056,
,,,-0.38899999857,-0.00056,
,,,-0.38896000385,-0.00072,
,,,-0.38891997933,-0.00080,
,,,-0.38887998462,-0.00072,
,,,-0.38883998990,-0.00072,
,,,-0.38879999518,-0.00064,
,,,-0.38876000047,-0.00072,
,,,-0.38871997595,-0.00064,
,,,-0.38867998123,-0.00056,
,,,-0.38863998652,-0.00072,
,,,-0.38859999180,-0.00072,
,,,-0.38855999708,-0.00064,
,,,-0.38852000237,-0.00072,
,,,-0.38847997785,-0.00064,
,,,-0.38843998313,-0.00064,
,,,-0.38839998841,-0.00056,
,,,-0.38835999370,-0.00056,
,,,-0.38831999898,-0.00056,
,,,-0.38828000426,-0.00056,
,,,-0.38823997974,-0.00064,
,,,-0.38819998503,-0.00064,
,,,-0.38815999031,-0.00072,
,,,-0.38811999559,-0.00064,
,,,-0.38808000088,-0.00056,
,,,-0.38803997636,-0.00080,
,,,-0.38799998164,-0.00072,
,,,-0.38795998693,-0.00072,
,,,-0.38791999221,-0.00056,
,,,-0.38787999749,-0.00056,
,,,-0.38784000278,-0.00056,
,,,-0.38779997826,-0.00072,
,,,-0.38775998354,-0.00072,
,,,-0.38771998882,-0.00056,
,,,-0.38767999411,-0.00072,
,,,-0.38763999939,-0.00064,
,,,-0.38760000467,-0.00072,
,,,-0.38755998015,-0.00072,
,,,-0.38751998544,-0.00056,
,,,-0.38747999072,-0.00064,
,,,-0.38743999600,-0.00072,
,,,-0.38740000129,-0.00072,
,,,-0.38735997677,-0.00072,
,,,-0.38731998205,-0.00064,
,,,-0.38727998734,-0.00064,
,,,-0.38723999262,-0.00064,
,,,-0.38719999790,-0.00056,
,,,-0.38716000319,-0.00072,
,,,-0.38711997867,-0.00072,
,,,-0.38707998395,-0.00072,
,,,-0.38703998923,-0.00056,
,,,-0.38699999452,-0.00064,
,,,-0.38695999980,-0.00056,
,,,-0.38692000508,-0.00072,
,,,-0.38687998056,-0.00072,
,,,-0.38683998585,-0.00056,
,,,-0.38679999113,-0.00056,
,,,-0.38675999641,-0.00072,
,,,-0.38672000170,-0.00064,
,,,-0.38667997718,-0.00064,
,,,-0.38663998246,-0.00064,
,,,-0.38659998775,-0.00064,
,,,-0.38655999303,-0.00072,
,,,-0.38651999831,-0.00064,
,,,-0.38648000360,-0.00072,
,,,-0.38643997908,-0.00064,
,,,-0.38639998436,-0.00056,
,,,-0.38635998964,-0.00056,
,,,-0.38631999493,-0.00072,
,,,-0.38628000021,-0.00064,
,,,-0.38623997569,-0.00064,
,,,-0.38619998097,-0.00064,
,,,-0.38615998626,-0.00064,
,,,-0.38611999154,-0.00048,
,,,-0.38607999682,-0.00048,
,,,-0.38604000211,-0.00048,
,,,-0.38599997759,-0.00048,
,,,-0.38595998287,-0.00064,
,,,-0.38591998816,-0.00072,
,,,-0.38587999344,-0.00072,
,,,-0.38583999872,-0.00072,
,,,-0.38580000401,-0.00072,
,,,-0.38575997949,-0.00056,
,,,-0.38571998477,-0.00064,
,,,-0.38567999005,-0.00072,
,,,-0.38563999534,-0.00056,
,,,-0.38560000062,-0.00072,
,,,-0.38555997610,-0.00072,
,,,-0.38551998138,-0.00056,
,,,-0.38547998667,-0.00056,
,,,-0.38543999195,-0.00064,
,,,-0.38539999723,-0.00072,
,,,-0.38536000252,-0.00056,
,,,-0.38531997800,-0.00056,
,,,-0.38527998328,-0.00048,
,,,-0.38523998857,-0.00056,
,,,-0.38519999385,-0.00040,
,,,-0.38515999913,-0.00056,
,,,-0.38512000442,-0.00064,
,,,-0.38507997990,-0.00056,
,,,-0.38503998518,-0.00048,
,,,-0.38499999046,-0.00056,
,,,-0.38495999575,-0.00056,
,,,-0.38492000103,-0.00064,
,,,-0.38487997651,-0.00072,
,,,-0.38483998179,-0.00056,
,,,-0.38479998708,-0.00056,
,,,-0.38475999236,-0.00064,
,,,-0.38471999764,-0.00072,
,,,-0.38468000293,-0.00056,
,,,-0.38463997841,-0.00056,
,,,-0.38459998369,-0.00056,
,,,-0.38455998898,-0.00064,
,,,-0.38451999426,-0.00048,
,,,-0.38447999954,-0.00048,
,,,-0.38444000483,-0.00048,
,,,-0.38439998031,-0.00056,
,,,-0.38435998559,-0.00064,
,,,-0.38431999087,-0.00056,
,,,-0.38427999616,-0.00056,
,,,-0.38424000144,-0.00056,
,,,-0.38419997692,-0.00064,
,,,-0.38415998220,-0.00048,
,,,-0.38411998749,-0.00056,
,,,-0.38407999277,-0.00072,
,,,-0.38403999805,-0.00056,
,,,-0.38400000334,-0.00064,
,,,-0.38395997882,-0.00048,
,,,-0.38391998410,-0.00056,
,,,-0.38387998939,-0.00048,
,,,-0.38383999467,-0.00056,
,,,-0.38379999995,-0.00072,
,,,-0.38375997543,-0.00056,
,,,-0.38371998072,-0.00056,
,,,-0.38367998600,-0.00072,
,,,-0.38363999128,-0.00056,
,,,-0.38359999657,-0.00056,
,,,-0.38356000185,-0.00056,
,,,-0.38351997733,-0.00056,
,,,-0.38347998261,-0.00056,
,,,-0.38343998790,-0.00056,
,,,-0.38339999318,-0.00064,
,,,-0.38335999846,-0.00056,
,,,-0.38332000375,-0.00048,
,,,-0.38327997923,-0.00056,
,,,-0.38323998451,-0.00072,
,,,-0.38319998980,-0.00048,
,,,-0.38315999508,-0.00072,
,,,-0.38312000036,-0.00056,
,,,-0.38307997584,-0.00072,
,,,-0.38303998113,-0.00056,
,,,-0.38299998641,-0.00056,
,,,-0.38295999169,-0.00056,
,,,-0.38291999698,-0.00064,
,,,-0.38288000226,-0.00056,
,,,-0.38283997774,-0.00072,
,,,-0.38279998302,-0.00056,
,,,-0.38275998831,-0.00056,
,,,-0.38271999359,-0.00056,
,,,-0.38267999887,-0.00064,
,,,-0.38264000416,-0.00048,
,,,-0.38259997964,-0.00048,
,,,-0.38255998492,-0.00048,
,,,-0.38251999021,-0.00056,
,,,-0.38247999549,-0.00048,
,,,-0.38244000077,-0.00056,
,,,-0.38239997625,-0.00056,
,,,-0.38235998154,-0.00056,
,,,-0.38231998682,-0.00056,
,,,-0.38227999210,-0.00048,
,,,-0.38223999739,-0.00048,
,,,-0.38220000267,-0.00056,
,,,-0.38215997815,-0.00056,
,,,-0.38211998343,-0.00048,
,,,-0.38207998872,-0.00048,
,,,-0.38203999400,-0.00056,
,,,-0.38199999928,-0.00056,
,,,-0.38196000457,-0.00048,
,,,-0.38191998005,-0.00048,
,,,-0.38187998533,-0.00056,
,,,-0.38183999062,-0.00056,
,,,-0.38179999590,-0.00056,
,,,-0.38176000118,-0.00064,
,,,-0.38171997666,-0.00064,
,,,-0.38167998195,-0.00056,
,,,-0.38163998723,-0.00048,
,,,-0.38159999251,-0.00048,
,,,-0.38155999780,-0.00048,
,,,-0.38152000308,-0.00048,
