vce	Ie(Q1)
-8.600000000000416e-01	1.511725e-03
-8.500000000000416e-01	1.511304e-03
-8.400000000000416e-01	1.510884e-03
-8.300000000000416e-01	1.510463e-03
-8.200000000000416e-01	1.510043e-03
-8.100000000000416e-01	1.509622e-03
-8.000000000000416e-01	1.509201e-03
-7.900000000000416e-01	1.508781e-03
-7.800000000000415e-01	1.508360e-03
-7.700000000000415e-01	1.507940e-03
-7.600000000000415e-01	1.507519e-03
-7.500000000000415e-01	1.507099e-03
-7.400000000000415e-01	1.506678e-03
-7.300000000000415e-01	1.506257e-03
-7.200000000000415e-01	1.505837e-03
-7.100000000000415e-01	1.505416e-03
-7.000000000000415e-01	1.504996e-03
-6.900000000000415e-01	1.504575e-03
-6.800000000000415e-01	1.504155e-03
-6.700000000000415e-01	1.503734e-03
-6.600000000000414e-01	1.503313e-03
-6.500000000000414e-01	1.502893e-03
-6.400000000000414e-01	1.502472e-03
-6.300000000000414e-01	1.502051e-03
-6.200000000000414e-01	1.501631e-03
-6.100000000000414e-01	1.501210e-03
-6.000000000000414e-01	1.500790e-03
-5.900000000000414e-01	1.500369e-03
-5.800000000000414e-01	1.499948e-03
-5.700000000000414e-01	1.499527e-03
-5.600000000000414e-01	1.499106e-03
-5.500000000000413e-01	1.498685e-03
-5.400000000000413e-01	1.498264e-03
-5.300000000000413e-01	1.497842e-03
-5.200000000000413e-01	1.497421e-03
-5.100000000000413e-01	1.496998e-03
-5.000000000000413e-01	1.496575e-03
-4.900000000000413e-01	1.496152e-03
-4.800000000000413e-01	1.495727e-03
-4.700000000000413e-01	1.495300e-03
-4.600000000000413e-01	1.494872e-03
-4.500000000000413e-01	1.494441e-03
-4.400000000000412e-01	1.494006e-03
-4.300000000000412e-01	1.493565e-03
-4.200000000000412e-01	1.493118e-03
-4.100000000000412e-01	1.492661e-03
-4.000000000000412e-01	1.492191e-03
-3.900000000000412e-01	1.491704e-03
-3.800000000000412e-01	1.491192e-03
-3.700000000000412e-01	1.490648e-03
-3.600000000000412e-01	1.490060e-03
-3.500000000000412e-01	1.489412e-03
-3.400000000000412e-01	1.488682e-03
-3.300000000000411e-01	1.487842e-03
-3.200000000000411e-01	1.486851e-03
-3.100000000000411e-01	1.485656e-03
-3.000000000000411e-01	1.484184e-03
-2.900000000000411e-01	1.482336e-03
-2.800000000000411e-01	1.479979e-03
-2.700000000000411e-01	1.476932e-03
-2.600000000000411e-01	1.472951e-03
-2.500000000000411e-01	1.467710e-03
-2.400000000000411e-01	1.460772e-03
-2.300000000000411e-01	1.451559e-03
-2.200000000000411e-01	1.439308e-03
-2.100000000000410e-01	1.423031e-03
-2.000000000000410e-01	1.401471e-03
-1.900000000000410e-01	1.373066e-03
-1.800000000000410e-01	1.335955e-03
-1.700000000000410e-01	1.288043e-03
-1.600000000000410e-01	1.227180e-03
-1.500000000000410e-01	1.151511e-03
-1.400000000000410e-01	1.060006e-03
-1.300000000000410e-01	9.531389e-04
-1.200000000000410e-01	8.335070e-04
-1.100000000000410e-01	7.060688e-04
-1.000000000000410e-01	5.776553e-04
-9.000000000004099e-02	4.556903e-04
-8.000000000004100e-02	3.465340e-04
-7.000000000004100e-02	2.541828e-04
-6.000000000004100e-02	1.798679e-04
-5.000000000004100e-02	1.225383e-04
-4.000000000004100e-02	7.978331e-05
-3.000000000004099e-02	4.871682e-05
-2.000000000004099e-02	2.657621e-05
-1.000000000004099e-02	1.101685e-05
0.000000000000000e+00	1.909154e-07
