vbe	Ic(Q1)
-4.979999999999998e-01	-6.792384e-05
-4.969999999999998e-01	-6.535187e-05
-4.959999999999998e-01	-6.287728e-05
-4.949999999999998e-01	-6.049637e-05
-4.939999999999998e-01	-5.820561e-05
-4.929999999999998e-01	-5.600157e-05
-4.919999999999998e-01	-5.388098e-05
-4.909999999999998e-01	-5.184068e-05
-4.899999999999998e-01	-4.987763e-05
-4.889999999999998e-01	-4.798890e-05
-4.879999999999998e-01	-4.617169e-05
-4.869999999999998e-01	-4.442328e-05
-4.859999999999998e-01	-4.274107e-05
-4.849999999999998e-01	-4.112256e-05
-4.839999999999998e-01	-3.956533e-05
-4.829999999999998e-01	-3.806706e-05
-4.819999999999998e-01	-3.662552e-05
-4.809999999999998e-01	-3.523857e-05
-4.799999999999998e-01	-3.390413e-05
-4.789999999999998e-01	-3.262022e-05
-4.779999999999998e-01	-3.138493e-05
-4.769999999999998e-01	-3.019641e-05
-4.759999999999998e-01	-2.905290e-05
-4.749999999999998e-01	-2.795269e-05
-4.739999999999998e-01	-2.689414e-05
-4.729999999999998e-01	-2.587567e-05
-4.719999999999998e-01	-2.489577e-05
-4.709999999999998e-01	-2.395298e-05
-4.699999999999998e-01	-2.304588e-05
-4.689999999999998e-01	-2.217314e-05
-4.679999999999997e-01	-2.133344e-05
-4.669999999999997e-01	-2.052555e-05
-4.659999999999997e-01	-1.974824e-05
-4.649999999999997e-01	-1.900037e-05
-4.639999999999997e-01	-1.828082e-05
-4.629999999999997e-01	-1.758852e-05
-4.619999999999997e-01	-1.692244e-05
-4.609999999999997e-01	-1.628158e-05
-4.599999999999997e-01	-1.566498e-05
-4.589999999999997e-01	-1.507174e-05
-4.579999999999997e-01	-1.450097e-05
-4.569999999999997e-01	-1.395180e-05
-4.559999999999997e-01	-1.342344e-05
-4.549999999999997e-01	-1.291508e-05
-4.539999999999997e-01	-1.242598e-05
-4.529999999999997e-01	-1.195539e-05
-4.519999999999997e-01	-1.150263e-05
-4.509999999999997e-01	-1.106701e-05
-4.499999999999997e-01	-1.064790e-05
-4.489999999999997e-01	-1.024465e-05
-4.479999999999997e-01	-9.856672e-06
-4.469999999999997e-01	-9.483388e-06
-4.459999999999997e-01	-9.124240e-06
-4.449999999999997e-01	-8.778694e-06
-4.439999999999997e-01	-8.446234e-06
-4.429999999999997e-01	-8.126363e-06
-4.419999999999997e-01	-7.818607e-06
-4.409999999999997e-01	-7.522505e-06
-4.399999999999997e-01	-7.237617e-06
-4.389999999999997e-01	-6.963518e-06
-4.379999999999997e-01	-6.699800e-06
-4.369999999999997e-01	-6.446068e-06
-4.359999999999997e-01	-6.201946e-06
-4.349999999999997e-01	-5.967068e-06
-4.339999999999997e-01	-5.741086e-06
-4.329999999999997e-01	-5.523662e-06
-4.319999999999997e-01	-5.314472e-06
-4.309999999999997e-01	-5.113204e-06
-4.299999999999997e-01	-4.919559e-06
-4.289999999999997e-01	-4.733247e-06
-4.279999999999997e-01	-4.553990e-06
-4.269999999999997e-01	-4.381523e-06
-4.259999999999997e-01	-4.215588e-06
-4.249999999999997e-01	-4.055936e-06
-4.239999999999997e-01	-3.902330e-06
-4.229999999999997e-01	-3.754542e-06
-4.219999999999997e-01	-3.612351e-06
-4.209999999999997e-01	-3.475545e-06
-4.199999999999997e-01	-3.343919e-06
-4.189999999999997e-01	-3.217279e-06
-4.179999999999997e-01	-3.095435e-06
-4.169999999999997e-01	-2.978205e-06
-4.159999999999997e-01	-2.865415e-06
-4.149999999999997e-01	-2.756896e-06
-4.139999999999997e-01	-2.652487e-06
-4.129999999999997e-01	-2.552033e-06
-4.119999999999997e-01	-2.455382e-06
-4.109999999999997e-01	-2.362392e-06
-4.099999999999997e-01	-2.272924e-06
-4.089999999999997e-01	-2.186844e-06
-4.079999999999997e-01	-2.104024e-06
-4.069999999999997e-01	-2.024340e-06
-4.059999999999997e-01	-1.947675e-06
-4.049999999999997e-01	-1.873913e-06
-4.039999999999997e-01	-1.802944e-06
-4.029999999999997e-01	-1.734663e-06
-4.019999999999997e-01	-1.668968e-06
-4.009999999999997e-01	-1.605761e-06
-4.000000000000000e-01	-1.544947e-06
